new_flag1,survey_date,Site_num,Long,Lat,num_adult,num_unk_ANAE,num_juv_subad_yrling,num_hatchling,num_eggs,total_ANAE,total_ANAE_or_PLME
58,2009-10-17,58,-82.615402,35.175694,1,0,0,0,0,1,1
58,2012-04-17,58,-82.615402,35.175694,1,0,0,0,0,1,1
58,2010-07-22,58,-82.615402,35.175694,0,0,0,0,0,0,1
58,2012-05-11,58,-82.615402,35.175694,1,0,0,0,0,1,1
58,2010-03-30,58,-82.615402,35.175694,1,0,1,0,0,2,2
58,2010-09-10,58,-82.615402,35.175694,0,0,0,0,0,0,1
59,2010-05-06,59,-82.615273,35.175849,0,0,1,0,0,1,1
59,2016-08-24,59,-82.615273,35.175849,1,0,0,0,0,1,1
59,2010-05-05,59,-82.615273,35.175849,0,0,1,0,0,1,1
59,2020-11-09,59,-82.615273,35.175849,2,0,0,0,0,2,2
59,2010-05-08,59,-82.615273,35.175849,0,0,1,0,0,1,1
59,2009-10-17,59,-82.615273,35.175849,3,0,0,0,0,3,3
59,2010-09-10,59,-82.615273,35.175849,0,0,0,0,0,0,1
59,2010-06-18,59,-82.615273,35.175849,0,0,0,0,0,0,2
59,2010-10-01,59,-82.615273,35.175849,0,0,1,0,0,1,1
59,2017-05-12,59,-82.615273,35.175849,1,0,0,0,0,1,1
59,2015-04-27,59,-82.615273,35.175849,0,0,0,0,0,0,2
59,2012-03-16,59,-82.615273,35.175849,2,0,0,0,0,2,2
59,2013-10-01,59,-82.615273,35.175849,0,0,0,0,0,0,1
59,2018-06-03,59,-82.615273,35.175849,1,0,0,0,0,1,1
59,2011-04-10,59,-82.615273,35.175849,1,0,0,0,0,1,1
59,2009-11-04,59,-82.615273,35.175849,2,0,0,0,0,2,2
59,2013-08-06,59,-82.615273,35.175849,0,0,0,0,0,0,2
59,2010-10-20,59,-82.615273,35.175849,0,0,1,0,0,1,1
59,2012-10-10,59,-82.615273,35.175849,0,0,0,0,0,0,1
59,2010-03-30,59,-82.615273,35.175849,1,0,1,0,0,2,2
59,2017-08-20,59,-82.615273,35.175849,0,0,0,0,0,0,1
59,2011-08-05,59,-82.615273,35.175849,0,0,0,0,0,0,1
59,2017-10-21,59,-82.615273,35.175849,1,0,0,0,0,1,1
60,2009-11-14,60,-82.614979,35.176511,1,0,0,0,0,1,1
61,2010-05-06,61,-82.615281,35.175687,1,0,0,0,0,1,4
61,2010-05-08,61,-82.615281,35.175687,1,0,0,0,0,1,1
61,2010-06-18,61,-82.615281,35.175687,0,0,0,0,0,0,1
62,2014-10-22,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2012-10-22,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2009-10-19,62,-82.612358,35.177258,0,0,0,1,0,1,1
62,2015-09-16,62,-82.612358,35.177258,0,0,0,0,0,0,2
62,2011-10-31,62,-82.612358,35.177258,2,0,0,0,0,2,2
62,2009-04-30,62,-82.612358,35.177258,2,0,0,0,0,2,2
62,2012-05-11,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2012-11-09,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2011-08-05,62,-82.612358,35.177258,0,0,0,0,0,0,1
62,2014-11-04,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2013-10-23,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2013-10-01,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2015-04-27,62,-82.612358,35.177258,0,0,0,0,0,0,1
62,2012-10-10,62,-82.612358,35.177258,2,0,0,0,0,2,2
62,2021-11-11,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2010-10-21,62,-82.612358,35.177258,1,0,0,0,0,1,1
62,2020-10-06,62,-82.612358,35.177258,0,0,0,0,0,0,2
62,2011-10-17,62,-82.612358,35.177258,0,0,2,0,0,2,2
62,2010-11-06,62,-82.612358,35.177258,0,0,1,0,0,1,1
63,2021-10-25,63,-82.612258,35.177151,1,0,0,0,0,1,1
63,2009-04-30,63,-82.612258,35.177151,2,0,0,0,0,2,2
63,2010-10-21,63,-82.612258,35.177151,0,0,2,0,0,2,2
66,2012-06-26,66,-82.61814,35.179219,0,0,0,0,0,0,0
66,2017-05-18,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-19,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2016-09-10,66,-82.61814,35.179219,1,0,0,3,0,4,4
66,2014-08-12,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-29,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-28,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2015-09-01,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2020-06-14,66,-82.61814,35.179219,0,0,1,0,0,1,1
66,2014-09-25,66,-82.61814,35.179219,1,0,0,6,0,7,7
66,2017-08-26,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-06,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-13,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2017-06-03,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2016-05-09,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2016-08-07,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-06-28,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-18,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-25,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2017-05-02,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-16,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2015-06-03,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-07-21,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-06-30,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-25,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2015-09-16,66,-82.61814,35.179219,2,0,0,0,0,2,2
66,2016-07-27,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2019-09-09,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2010-06-18,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2012-07-22,66,-82.61814,35.179219,0,0,0,0,0,0,0
66,2014-07-22,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2016-08-23,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2012-07-17,66,-82.61814,35.179219,0,0,0,0,0,0,0
66,2014-09-14,66,-82.61814,35.179219,1,0,0,3,0,4,1
66,2014-08-03,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2018-06-15,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2018-07-14,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-09-27,66,-82.61814,35.179219,1,0,0,3,0,4,4
66,2017-10-11,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2017-05-12,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-10,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-06-03,66,-82.61814,35.179219,0,0,1,0,0,1,1
66,2018-06-05,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-31,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2016-06-24,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-09-10,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-09-07,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-06-23,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-10-01,66,-82.61814,35.179219,0,0,0,1,0,1,1
66,2014-09-19,66,-82.61814,35.179219,1,0,0,3,0,4,4
66,2012-04-17,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-22,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-09-16,66,-82.61814,35.179219,1,0,0,3,0,4,4
66,2018-06-12,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-08-06,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2012-07-10,66,-82.61814,35.179219,1,0,0,0,0,1,0
66,2018-08-16,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2010-09-25,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2014-09-05,66,-82.61814,35.179219,1,0,0,0,0,1,1
66,2017-10-01,66,-82.61814,35.179219,2,0,0,0,0,2,2
66,2014-09-20,66,-82.61814,35.179219,1,0,0,3,0,4,4
